Pool,Pool Notes,Application,Foreground Begin (Unix Time),Foreground End (Unix Time)
,,Preview,1358624206.80,1358624219.82
,,Finder,1358624220.34,1358624222.95
,,Preview,1358624223.49,1358624231.79
,,Finder,1358624232.31,1358624236.51
,,Google Chrome,1358624237.03,1358624294.56
,,Finder,1358624295.08,1358624297.19
,,Preview,1358624297.70,1358624298.74
,,Google Chrome,1358624299.26,1358624304.47
,,Preview,1358624304.99,1358624306.03
,,Google Chrome,1358624306.55,1358624310.19
,,Preview,1358624310.71,1358624312.79
,,Google Chrome,1358624314.35,1358624430.00
,,Preview,1358624430.52,1358624431.56
,,Google Chrome,1358624432.08,1358624433.11
,,Preview,1358624433.63,1358624434.67
,,Google Chrome,1358624435.19,1358624435.72
,,Finder,1358624436.24,1358624482.91
,,Preview,1358624483.43,1358624487.63
,,Finder,1358624488.16,1358624497.01
,,Preview,1358624497.54,1358624505.35
,,Finder,1358624505.88,1358624509.00
,,Preview,1358624509.52,1358624527.72
,,Finder,1358624528.24,1358624556.34
,,Preview,1358624556.86,1358624559.46
,,Finder,1358624559.99,1358624581.85
,,Preview,1358624582.37,1358624583.42
,,Finder,1358624583.94,1358624588.10
,,Preview,1358624588.62,1358624589.66
,,Finder,1358624590.19,1358624596.46
,,Preview,1358624596.98,1358624597.50
,,Finder,1358624598.03,1358624604.26
,,Preview,1358624604.78,1358624606.35
,,Finder,1358624606.87,1358624608.98
,,Google Chrome,1358624609.50,1358624611.57
,,Finder,1358624612.09,1358624612.64
,,Google Chrome,1358624613.16,1358624667.29
,,Finder,1358624667.81,1358624668.85
,,Preview,1358624669.37,1358624670.41
,,Google Chrome,1358624670.93,1358624676.14
,,Google Chrome,1358624677.18,1358624679.26
,,Google Chrome,1358624680.30,1358624685.50
,,Preview,1358624686.02,1358624687.58
,,Finder,1358624688.10,1358624689.14
,,Preview,1358624689.65,1358624690.17
,,Google Chrome,1358624690.69,1358624695.88
,,Finder,1358624697.44,1358624708.88
,,Preview,1358624709.41,1358624722.96
,,Finder,1358624723.49,1358624728.16
,,Preview,1358624728.69,1358624730.25
,,Finder,1358624730.78,1358624740.68
,,Preview,1358624741.20,1358624742.25
,,Finder,1358624742.76,1358624768.77
,,Preview,1358624769.29,1358624770.34
,,Finder,1358624770.86,1358624773.55
,,Preview,1358624774.08,1358624786.05
,,Finder,1358624786.57,1358624789.17
,,Finder,1358624790.20,1358624792.29
,,Google Chrome,1358624792.81,1358624796.97
,,Finder,1358624797.49,1358624798.53
,,Google Chrome,1358624799.06,1358624902.13
,,Finder,1358624902.70,1358624908.96
,,Google Chrome,1358624909.48,1358624925.59
,,Google Chrome,1358624927.15,1358624928.72
,,Tweetbot,1358624929.25,1358624929.77
,,Google Chrome,1358624930.30,1358624997.65
,,Tweetbot,1358624998.18,1358624999.22
,,Finder,1358625000.27,1358625002.09
,,Finder,1358625003.13,1358625003.65
,,Preview,1358625004.18,1358625007.30
,,Google Chrome,1358625007.82,1358625012.52
,,Google Chrome,1358625013.56,1358625014.09
,,Preview,1358625014.61,1358625015.13
,,Google Chrome,1358625015.65,1358625017.73
,,Google Chrome,1358625018.77,1358625025.53
,,Preview,1358625026.06,1358625027.62
,,Finder,1358625028.14,1358625036.99
,,Preview,1358625037.52,1358625043.81
,,Finder,1358625044.34,1358625060.60
,,Preview,1358625061.13,1358625063.76
,,Google Chrome,1358625064.29,1358625073.19
,,Preview,1358625073.71,1358625074.23
,,Finder,1358625074.75,1358625077.37
,,Google Chrome,1358625077.89,1358625095.64
,,Tweetbot,1358625096.16,1358625124.86
,,Google Chrome,1358625125.39,1358625131.64
,,Tweetbot,1358625132.16,1358625141.55
,,Google Chrome,1358625142.07,1358625320.06
,,Tweetbot,1358625320.58,1358625324.75
,,Google Chrome,1358625325.27,1358625329.44
,,Tweetbot,1358625329.96,1358625330.48
,,Preview,1358625331.01,1358625332.05
,,Google Chrome,1358625332.57,1358625336.73
,,Google Chrome,1358625337.77,1358625341.42
,,Google Chrome,1358625342.46,1358625346.63
,,Preview,1358625347.15,1358625349.23
,,Finder,1358625349.76,1358625358.10
,,Preview,1358625358.62,1358625362.83
,,Finder,1358625363.39,1358625394.68
,,Preview,1358625395.20,1358625419.70
,,Finder,1358625420.22,1358625421.79
,,Google Chrome,1358625422.83,1358625424.41
,,Preview,1358625424.94,1358625425.99
,,Finder,1358625426.51,1358625429.12
,,Google Chrome,1358625429.64,1358625441.14
,,Tweetbot,1358625441.66,1358625448.43
,,Google Chrome,1358625448.95,1358625507.81
,,Google Chrome,1358625508.85,1358626351.84
,,Tweetbot,1358626352.37,1358626352.90
,,Preview,1358626353.95,1358626356.04
,,Google Chrome,1358626356.58,1358626360.26
,,Preview,1358626360.78,1358626361.30
,,Google Chrome,1358626361.82,1358626363.91
,,Google Chrome,1358626364.95,1358626430.88
,,Preview,1358626431.39,1358626433.48
,,Finder,1358626434.00,1358626440.25
,,Preview,1358626440.78,1358626442.86
,,Tweetbot,1358626443.38,1358626450.15
,,Finder,1358626450.67,1358626457.96
,,Preview,1358626458.48,1358626463.69
,,Finder,1358626464.22,1358626489.26
,,Google Chrome,1358626489.78,1358626543.42
,,Finder,1358626543.96,1358626545.01
,,Preview,1358626545.53,1358626553.97
,,Finder,1358626557.10,1358626559.19
,,Preview,1358626559.72,1358626562.84
,,Google Chrome,1358626563.36,1358626571.24
,,Google Chrome,1358626573.84,1358626582.16
,,Preview,1358626582.69,1358626586.87
,,Finder,1358626587.39,1358626616.64
,,Preview,1358626617.16,1358626623.93
,,Finder,1358626624.46,1358626624.98
,,Google Chrome,1358626625.50,1358626626.55
,,Finder,1358626627.08,1358626628.64
,,Finder,1358626629.68,1358626631.80
,,Google Chrome,1358626632.32,1358626642.76
,,Tweetbot,1358626643.29,1358626646.95
,,Tweetbot,1358626647.99,1358626649.03
,,Google Chrome,1358626649.56,1358626703.24
,,Tweetbot,1358626703.76,1358626706.88
,,Tweetbot,1358626707.92,1358626708.44
,,Google Chrome,1358626708.97,1358626876.41
,,Tweetbot,1358626876.94,1358626877.46
,,Finder,1358626877.98,1358626880.59
,,Preview,1358626881.11,1358626882.68
,,Google Chrome,1358626883.21,1358626885.29
,,Google Chrome,1358626886.33,1358626888.94
,,Preview,1358626889.46,1358626889.98
,,Google Chrome,1358626890.51,1358626908.23
,,Google Chrome,1358626909.27,1358626911.36
,,Preview,1358626911.88,1358626912.92
,,Google Chrome,1358626913.44,1358626919.69
,,Preview,1358626920.21,1358626921.25
,,Finder,1358626921.77,1358626940.58
,,Preview,1358626941.09,1358626947.88
,,Finder,1358626948.40,1358627373.17
,,Preview,1358627373.69,1358627376.82
,,Google Chrome,1358627377.33,1358627379.44
,,Finder,1358627379.96,1358627382.57
,,Google Chrome,1358627383.10,1358627401.97
,,Google Chrome,1358627403.03,1358627419.21
,,Finder,1358627419.73,1358627420.25
,,Google Chrome,1358627420.78,1358627447.93
,,Tweetbot,1358627448.45,1358627459.94
,,Google Chrome,1358627460.46,1358627570.53
,,Tweetbot,1358627571.05,1358627572.09
,,Google Chrome,1358627573.67,1358627577.32
,,Google Chrome,1358627578.36,1358627583.05
,,Preview,1358627583.57,1358627584.09
,,Google Chrome,1358627584.61,1358627615.82
,,Preview,1358627616.34,1358627618.42
,,Finder,1358627618.94,1358627634.56
,,Preview,1358627635.08,1358627635.59
,,Finder,1358627636.12,1358627637.16
,,Google Chrome,1358627637.68,1358628308.09
,,Google Chrome,1358628316.94,1358628707.73
,,Finder,1358628708.26,1358628708.79
,,Google Chrome,1358628709.31,1358628781.29
,,Google Chrome,1358628782.33,1358628787.03
,,Finder,1358628787.55,1358628908.92
,,Google Chrome,1358628909.44,1358628978.28
,,Google Chrome,1358628979.33,1358629016.06
,,Finder,1358629016.59,1358629024.38
,,Terminal,1358629030.64,1358629049.86
,,Google Chrome,1358629050.38,1358629055.09
,,Terminal,1358629055.61,1358629057.18
,,Sublime Text 2,1358629057.70,1358629060.82
,,Terminal,1358629061.34,1358629069.67
,,Google Chrome,1358629070.19,1358629079.65
,,Terminal,1358629080.17,1358629081.74
,,Google Chrome,1358629082.26,1358629328.89
,,Terminal,1358629329.40,1358629329.93
,,Google Chrome,1358629330.45,1358629521.49
,,Google Chrome,1358634272.21,1358634782.91
,,Terminal,1358634783.44,1358634786.58
,,Sublime Text 2,1358634787.10,1358634789.19
,,Google Chrome,1358634789.71,1358634808.46
,,Sublime Text 2,1358634809.00,1358634820.96
,,Google Chrome,1358634821.49,1358634866.84
,,Sublime Text 2,1358634867.37,1358634911.05
,,Google Chrome,1358634911.57,1358634918.43
,,Google Chrome,1358634920.01,1358635088.02
,,Sublime Text 2,1358635088.54,1358635123.40
,,Google Chrome,1358635123.92,1358635130.76
,,Sublime Text 2,1358635131.28,1358635147.43
,,Google Chrome,1358635147.95,1358635182.33
,,Sublime Text 2,1358635182.86,1358635186.51
,,Google Chrome,1358635187.03,1358635288.19
,,Sublime Text 2,1358635288.71,1358635299.66
,,Google Chrome,1358635300.17,1358635303.84
,,Sublime Text 2,1358635304.36,1358635310.09
,,Google Chrome,1358635310.61,1358635543.98
,,Sublime Text 2,1358635544.51,1358635548.67
,,Terminal,1358635549.19,1358635553.88
,,Sublime Text 2,1358635554.41,1358635557.53
,,Google Chrome,1358635558.57,1358635562.27
,,Terminal,1358635562.79,1358635563.31
,,Google Chrome,1358635563.83,1358635574.78
,,Terminal,1358635575.30,1358635576.35
,,Google Chrome,1358635576.87,1358635589.38
,,Terminal,1358635589.90,1358635593.03
,,Google Chrome,1358635593.55,1358635596.69
,,Terminal,1358635597.22,1358635600.35
,,Google Chrome,1358635600.89,1358635811.73
,,Terminal,1358635812.25,1358635883.88
,,Sublime Text 2,1358635884.40,1358635887.52
,,Sublime Text 2,1358635888.57,1358635889.10
,,Google Chrome,1358635889.62,1358635894.32
,,Sublime Text 2,1358635894.88,1358635900.60
,,Google Chrome,1358635901.12,1358635938.86
,,Sublime Text 2,1358635939.40,1358635940.44
,,Terminal,1358635940.96,1358635949.79
,,Sublime Text 2,1358635950.31,1358635951.87
,,Terminal,1358635952.39,1358635958.11
,,Sublime Text 2,1358635958.63,1358635961.74
,,Google Chrome,1358635962.26,1358636085.33
,,Terminal,1358636085.85,1358636087.41
,,Google Chrome,1358636087.97,1358636089.01
,,Terminal,1358636089.54,1358636090.58
,,Sublime Text 2,1358636091.10,1358636094.75
,,Terminal,1358636095.28,1358636095.79
,,Sublime Text 2,1358636096.32,1358636102.56
,,Google Chrome,1358636103.61,1358636104.15
,,Terminal,1358636104.67,1358636105.20
,,Sublime Text 2,1358636105.72,1358636109.92
,,Google Chrome,1358636110.96,1358636143.36
,,Sublime Text 2,1358636143.88,1358636153.24
,,Google Chrome,1358636153.77,1358636154.31
,,Sublime Text 2,1358636154.83,1358636155.89
,,Google Chrome,1358636156.41,1358636170.58
,,Sublime Text 2,1358636171.10,1358636172.14
,,Google Chrome,1358636172.67,1358636173.71
,,Sublime Text 2,1358636174.24,1358636176.32
,,Google Chrome,1358636176.84,1358636182.59
,,Sublime Text 2,1358636183.11,1358636183.62
,,Google Chrome,1358636184.15,1358636204.55
,,Sublime Text 2,1358636205.09,1358636208.20
,,Google Chrome,1358636208.72,1358636254.09
,,Sublime Text 2,1358636254.61,1358636255.13
,,Terminal,1358636255.65,1358636286.36
,,Sublime Text 2,1358636286.90,1358636307.70
,,Sublime Text 2,1358636308.74,1358636312.91
,,Google Chrome,1358636313.95,1358636371.77
,,Terminal,1358636372.31,1358636372.83
,,Sublime Text 2,1358636373.35,1358636373.87
,,Google Chrome,1358636374.91,1358636408.24
,,Sublime Text 2,1358636409.29,1358636412.41
,,Google Chrome,1358636412.94,1358636413.98
,,Sublime Text 2,1358636414.50,1358636417.62
,,Sublime Text 2,1358636418.67,1358636422.31
,,Google Chrome,1358636422.84,1358636426.49
,,Sublime Text 2,1358636428.08,1358636430.15
,,Google Chrome,1358636430.67,1358636432.75
,,Sublime Text 2,1358636433.28,1358636436.93
,,Google Chrome,1358636437.46,1358636443.24
,,Sublime Text 2,1358636443.77,1358636445.33
,,Google Chrome,1358636445.85,1358636460.99
,,Sublime Text 2,1358636461.52,1358636462.04
,,Google Chrome,1358636462.57,1358636464.65
,,Sublime Text 2,1358636465.18,1358636466.74
,,Google Chrome,1358636467.26,1358636467.78
,,Sublime Text 2,1358636468.31,1358636470.91
,,Google Chrome,1358636471.43,1358636507.42
,,Sublime Text 2,1358636507.95,1358636511.59
,,Google Chrome,1358636512.13,1358636513.68
,,Sublime Text 2,1358636514.20,1358636515.76
,,Google Chrome,1358636516.29,1358636576.68
,,Google Chrome,1358636577.74,1358636627.64
,,Terminal,1358636628.17,1358636632.40
,,Google Chrome,1358636632.92,1358636660.06
,,Terminal,1358636660.59,1358636661.64
,,Google Chrome,1358636662.16,1358636663.72
,,Sublime Text 2,1358636664.24,1358636681.95
,,Google Chrome,1358636682.47,1358636690.35
,,Sublime Text 2,1358636690.87,1358636700.26
,,Google Chrome,1358636700.79,1358636708.12
,,Terminal,1358636708.64,1358636721.64
,,Sublime Text 2,1358636722.70,1358636731.02
,,Google Chrome,1358636731.55,1358636732.07
,,Sublime Text 2,1358636732.60,1358636740.41
,,Google Chrome,1358636740.93,1358636785.24
,,Sublime Text 2,1358636785.76,1358636796.72
,,Google Chrome,1358636797.24,1358636812.34
,,Sublime Text 2,1358636812.86,1358636824.28
,,Google Chrome,1358636824.80,1358636847.74
,,Sublime Text 2,1358636848.26,1358636854.51
,,Google Chrome,1358636855.04,1358636867.02
,,Sublime Text 2,1358636867.54,1358636882.75
,,Google Chrome,1358636883.27,1358636916.65
,,Sublime Text 2,1358636917.18,1358636920.30
,,Google Chrome,1358636920.81,1358636924.49
,,Sublime Text 2,1358636925.02,1358636941.15
,,Google Chrome,1358636941.67,1358636970.36
,,Terminal,1358636970.88,1358636987.55
,,Google Chrome,1358636988.07,1358637800.30
,,Terminal,1358637800.83,1358637803.96
,,Google Chrome,1358637804.48,1358637819.11
,,Google Chrome,1358637828.48,1358637928.50
,,Terminal,1358637929.02,1358637930.58
,,Google Chrome,1358637931.10,1358638047.28
,,Google Chrome,1358638049.88,1358638050.41
,,Evernote,1358638050.93,1358638103.00
,,Google Chrome,1358638103.52,1358638352.72
,,Google Chrome,1358638354.28,1358638355.33
,,Tweetbot,1358638355.85,1358638378.83
,,Google Chrome,1358638379.34,1358638382.47
,,Google Chrome,1358641554.46,1358641799.08
,,Google Chrome,1358644460.39,1358644467.22
,,Terminal,1358644467.74,1358644469.85
,,Sublime Text 2,1358644470.38,1358644470.92
,,Google Chrome,1358644471.97,1358644557.02
,,Finder,1358644558.58,1358644561.20
,,Finder,1358644562.25,1358644562.78
,,Google Chrome,1358644563.83,1358644585.30
,,Tweetbot,1358644585.82,1358644595.82
,,Google Chrome,1358644596.34,1358644602.08
,,Tweetbot,1358644602.60,1358644604.69
,,Google Chrome,1358644605.21,1358644631.34
,,Tweetbot,1358644631.86,1358644634.48
,,Google Chrome,1358644635.00,1358644649.11
,,Tweetbot,1358644649.63,1358644707.04
,,Google Chrome,1358644707.56,1358644764.93
,,Tweetbot,1358644765.45,1358644783.70
,,Tweetbot,1358644784.75,1358644805.62
,,Tweetbot,1358644806.66,1358644812.40
,,Google Chrome,1358644812.92,1358644815.01
,,Tweetbot,1358644815.53,1358644820.22
,,Google Chrome,1358644820.75,1358644821.26
,,Tweetbot,1358644821.79,1358644832.75
,,Google Chrome,1358644833.28,1358645050.01
,,Google Chrome,1358645051.05,1358645051.58
,,Finder,1358645052.10,1358645052.62
,,Google Chrome,1358645053.15,1358645060.98
,,Google Chrome,1358645062.02,1358645101.01
,,Finder,1358645101.54,1358645104.66
,,Google Chrome,1358645105.18,1358645397.34
,,Tweetbot,1358645398.38,1358645402.56
,,Google Chrome,1358645403.09,1358645428.29
,,Google Chrome,1358645494.58,1358645495.63
,,Finder,1358645496.16,1358645498.77
,,Sublime Text 2,1358645499.30,1358645513.02
,,Finder,1358645513.54,1358645515.64
,,Sublime Text 2,1358645516.69,1358645520.34
,,Finder,1358645520.86,1358645521.38
,,Sublime Text 2,1358645522.95,1358645545.40
,,Finder,1358645545.92,1358645549.05
,,Google Chrome,1358645549.58,1358645596.08
,,Finder,1358645596.60,1358645598.74
,,Tweetbot,1358645599.26,1358645601.35
,,Sublime Text 2,1358645601.88,1358645635.86
,,Sublime Text 2,1358645638.99,1358645640.02
,,Google Chrome,1358645640.55,1358645702.02
,,Finder,1358645702.54,1358645704.63
,,Numbers,1358645705.16,1358645709.38
,,Google Chrome,1358645709.91,1358645731.67
,,Numbers,1358645732.20,1358645733.78
,,Google Chrome,1358645734.30,1358645765.76
,,Numbers,1358645766.29,1358645767.85
,,Google Chrome,1358645768.37,1358645788.89
,,Numbers,1358645789.41,1358645815.90
,,Google Chrome,1358645816.42,1358645823.31
,,Google Chrome,1358645825.96,1358645831.23
,,Google Chrome,1358645833.33,1358645851.75
,,Finder,1358645852.28,1358645853.85
,,Numbers,1358645855.41,1358645863.78
,,Finder,1358645864.30,1358645865.86
,,Google Chrome,1358645866.38,1358645881.03
,,Numbers,1358645882.07,1358645926.94
,,Google Chrome,1358645927.47,1358645950.46
,,Numbers,1358645950.99,1358645982.79
,,Finder,1358645983.31,1358645987.50
,,Google Chrome,1358646006.93,1358646009.03
,,Numbers,1358646009.55,1358646020.49
,,Google Chrome,1358646021.01,1358646042.04
,,Numbers,1358646042.56,1358646094.13
,,Sublime Text 2,1358646094.65,1358646096.73
,,Finder,1358646097.25,1358646097.77
,,Google Chrome,1358646098.29,1358646107.69
,,Finder,1358646110.34,1358646124.46
,,Google Chrome,1358646124.98,1358646127.61
,,Google Chrome,1358646128.65,1358646129.69
,,Finder,1358646130.22,1358646134.91
,,Sublime Text 2,1358646135.43,1358646135.95
,,Google Chrome,1358646136.47,1358646138.04
,,Google Chrome,1358646140.16,1358646140.68
,,Sublime Text 2,1358646141.20,1358646159.45
,,Tweetbot,1358646159.98,1358646168.33
,,Terminal,1358646170.95,1358646174.59
,,Google Chrome,1358646175.11,1358646208.44
,,Terminal,1358646208.96,1358646218.34
,,Google Chrome,1358646218.86,1358646230.34
,,Terminal,1358646230.87,1358646233.48
,,Finder,1358646234.00,1358646237.14
,,Terminal,1358646237.66,1358646238.70
,,Finder,1358646239.23,1358646254.87
,,Sublime Text 2,1358646255.39,1358646322.71
,,Google Chrome,1358646323.23,1358646333.67
,,Sublime Text 2,1358646334.19,1358646336.27
,,Google Chrome,1358646336.79,1358646342.54
,,Sublime Text 2,1358646343.06,1358646346.19
,,Google Chrome,1358646346.72,1358646347.24
,,Sublime Text 2,1358646347.77,1358646349.34
,,Google Chrome,1358646349.86,1358646351.96
,,Sublime Text 2,1358646352.48,1358646367.07
,,Terminal,1358646367.59,1358646373.32
,,Sublime Text 2,1358646373.84,1358646374.88
,,Google Chrome,1358646375.40,1358647120.77
,,Numbers,1358647121.30,1358647129.12
,,Google Chrome,1358647129.64,1358647407.47
,,Sublime Text 2,1358647409.04,1358647411.64
,,Google Chrome,1358647412.17,1358647414.26
,,Sublime Text 2,1358647414.78,1358647417.39
,,Google Chrome,1358647417.91,1358647418.43
,,Sublime Text 2,1358647418.96,1358647420.52
,,Google Chrome,1358647421.04,1358647422.08
,,Sublime Text 2,1358647422.61,1358647423.65
,,Google Chrome,1358647424.17,1358647424.70
,,Sublime Text 2,1358647425.22,1358647436.68
,,Google Chrome,1358647437.22,1358647438.78
,,Sublime Text 2,1358647439.30,1358647441.40
,,Google Chrome,1358647441.92,1358647442.96
,,Sublime Text 2,1358647443.48,1358647444.53
,,Sublime Text 2,1358647445.57,1358647451.30
,,Google Chrome,1358647451.81,1358647453.38
,,Sublime Text 2,1358647453.89,1358647459.11
,,Google Chrome,1358647459.62,1358647469.54
,,Google Chrome,1358647470.59,1358647471.63
,,Sublime Text 2,1358647472.15,1358647473.19
,,Google Chrome,1358647473.71,1358647474.76
,,Sublime Text 2,1358647475.28,1358647475.80
,,Sublime Text 2,1358647476.85,1358647478.42
,,Sublime Text 2,1358647479.46,1358647480.51
,,Google Chrome,1358647481.03,1358647481.56
,,Sublime Text 2,1358647482.08,1358647485.20
,,Google Chrome,1358647485.72,1358647486.77
,,Sublime Text 2,1358647487.29,1358647488.86
,,Google Chrome,1358647489.37,1358647490.42
,,Sublime Text 2,1358647490.94,1358647491.46
,,Google Chrome,1358647491.98,1358647540.08
,,Sublime Text 2,1358647540.60,1358647541.12
,,Google Chrome,1358647541.64,1358647544.25
,,Sublime Text 2,1358647544.77,1358647545.81
,,Sublime Text 2,1358647546.86,1358647547.90
,,Sublime Text 2,1358647548.94,1358647549.98
,,Sublime Text 2,1358647551.04,1358647552.09
,,Google Chrome,1358647552.61,1358647553.14
,,Sublime Text 2,1358647553.66,1358647555.74
,,Google Chrome,1358647556.26,1358647556.78
,,Google Chrome,1358647557.83,1358647558.35
,,Sublime Text 2,1358647558.86,1358647560.42
,,Sublime Text 2,1358647561.47,1358647563.03
,,Google Chrome,1358647563.55,1358647564.08
,,Sublime Text 2,1358647564.60,1358647565.64
,,Google Chrome,1358647566.16,1358647567.20
,,Sublime Text 2,1358647567.72,1358647576.58
,,Google Chrome,1358647577.10,1358647577.63
,,Sublime Text 2,1358647578.15,1358647578.67
,,Google Chrome,1358647579.19,1358647579.71
,,Sublime Text 2,1358647580.23,1358647582.84
,,Google Chrome,1358647583.37,1358647614.63
,,Sublime Text 2,1358647615.15,1358647621.92
,,Google Chrome,1358647622.45,1358647766.97
,,Sublime Text 2,1358647767.49,1358647768.01
,,Google Chrome,1358647768.53,1358647770.10
,,Sublime Text 2,1358647770.62,1358647773.22
,,Google Chrome,1358647773.74,1358647774.27
,,Sublime Text 2,1358647774.80,1358647775.32
,,Google Chrome,1358647775.84,1358647776.37
,,Sublime Text 2,1358647776.89,1358647781.57
,,Google Chrome,1358647782.09,1358647782.61
,,Sublime Text 2,1358647783.13,1358647787.82
,,Google Chrome,1358647788.35,1358647800.35
,,Sublime Text 2,1358647800.88,1358647809.74
,,Numbers,1358647810.26,1358647833.21
,,Finder,1358647833.73,1358647837.40
